Author Name,Affiliation,Google Scholar Link,Research Interests,Email Domain,Citations,Nation,,,,,
Tony J Prescott,"Professor of Cognitive Robotics, University of Sheffield, UK",https://scholar.google.com/citations?hl=en&user=u2T4wjgAAAAJ,"Biomimetics, Biorobotics, Active Sensing, Computational Neuroscience, Social Robotics",sheffield.ac.uk,13325,uk,,,,,
Theodoros Zanos,"Associate Professor, Head of Health AI Division and Neural and Data Science Lab",https://scholar.google.com/citations?hl=en&user=mEJCPeMAAAAJ,"Machine Learning in Healthcare, Bioelectronic Medicine, Computational Neuroscience",northwell.edu,12889,us,,,,,
Marc de Kamps,"Associate Professor, University of Leeds",https://scholar.google.com/citations?hl=en&user=OS87KEYAAAAJ,"computational neuroscience, cognitive neuroscience, neural networks, high energy physics",leeds.ac.uk,12872,uk,,,,,
Giorgio Ganis,University of Plymouth,https://scholar.google.com/citations?hl=en&user=-j9yBRgAAAAJ,"Cognitive Neuroscience, Computational Neuroscience, Cognitive Science, Top-Down Processes in Visual and Social ‚Ä? Mental",fastmail.us,12839,us,,,,,
Bratislav Misic,"Montr®¶al Neurological Institute, McGill University",https://scholar.google.com/citations?hl=en&user=Jv_ICEoAAAAJ,"Network Neuroscience, Computational Neuroscience, Neuro Data Science, Brain Imaging",mcgill.ca,12802,ca,,,,,
Andr®¶ van Schaik,"Director, International Centre for Neuromorphic Systems, Western Sydney University",https://scholar.google.com/citations?hl=en&user=Ud0G048AAAAJ,"Neuromorphic engineering, computational neuroscience, neurophysiology, neuromorphic",westernsydney.edu.au,12789,au,,,,,
Catherine E. Myers,"Professor, Pharmacology, Physiology & Neuroscience, Rutgers-NJMS",https://scholar.google.com/citations?hl=en&user=-ZfNM0sAAAAJ,"Hippocampus, Computational neuroscience, Learning & Memory",va.gov,12383,us,,,,,
Rosalyn Moran,King's College London,https://scholar.google.com/citations?hl=en&user=iMOoMxkAAAAJ,Computational Neuroscience,kcl.ac.uk,12231,uk,,,,,
Vincent Hakim,CNRS and Ecole Normale Sup®¶rieure,https://scholar.google.com/citations?hl=en&user=dz7cPcsAAAAJ,"Statistical Physics, Computational Neuroscience, Quantitative Biology",ens.fr,12223,fr,,,,,
Adam Kohn,Albert Einstein College of Medicine,https://scholar.google.com/citations?hl=en&user=lBVdZsYAAAAJ,"systems neuroscience, computational neuroscience, vision",einsteinmed.edu,12080,us,,,,,
Hava Siegelmann,"Professor of Computer Science, and Brain Sciences, UMass Amherst",https://scholar.google.com/citations?hl=en&user=A2fiOI0AAAAJ,"AI, Computational Neuroscience, Computational Biology",cs.umass.edu,12006,us,,,,,
Phil Husbands,"Research Professor of AI, University of Sussex",https://scholar.google.com/citations?hl=en&user=PXN62kAAAAAJ,"AI, robotics, artificial life, computational neuroscience, computational biology",sussex.ac.uk,11971,uk,,,,,
Seymur Jahangirov,"Associate Professor, Bilkent UNAM & Neuroscience Graduate Program, Bilkent University ",https://scholar.google.com/citations?hl=en&user=Amf6uoMAAAAJ,"2D Materials, Silicene,  Condensed Matter Physics,  Complex Systems,  Computational Neuroscience",bilkent.edu.tr,11946,tr,,,,,
Justin Dauwels,Delft University of Technology,https://scholar.google.com/citations?hl=en&user=dboVuDYAAAAJ,"graphical models, machine learning, signal processing, computational neuroscience, intelligent transportation systems",tudelft.nl,11862,nl,,,,,
Loic Matthey,DeepMind,https://scholar.google.com/citations?hl=en&user=f520HmwAAAAJ,"Machine Learning, Artificial Intelligence, Computational Neuroscience",google.com,11774,us,,,,,
Eran A. Mukamel,"Associate Professor, Cognitive Science, University of California San Diego",https://scholar.google.com/citations?hl=en&user=lZxTkUUAAAAJ,"Computational Neuroscience, Epigenomics",ucsd.edu,11636,us,,,,,
Markus Siegel,"Director, Dept. of Neural Dynamics and Magnetoencephalography, HIH T√ºbingen",https://scholar.google.com/citations?hl=en&user=SHwlLlMAAAAJ,"Systems Neuroscience, Cognitive Neuroscience, Computational Neuroscience, Electrophysiology",uni-tuebingen.de,11635,de,,,,,
Kwabena Boahen,"Professor of Bioengineering & Electrical Engineering, Stanford University",https://scholar.google.com/citations?hl=en&user=WuOsGfsAAAAJ,"Neuromorphic Computing, Neuroengineering, Computational Neuroscience, Theoretical Neuroscience",stanford.edu,11624,us,,,,,
Michael Mauk,"Professor of Neuroscience, University of Texas as Austin",https://scholar.google.com/citations?hl=en&user=NaCmjqsAAAAJ,"systems neuroscience, computational neuroscience",,11587,us,,,,,
Tai Sing Lee,"Professor of Computer Science, Carnegie Mellon University",https://scholar.google.com/citations?hl=en&user=9TAiIIMAAAAJ,"Computational Neuroscience, Computer Vision",cs.cmu.edu,11578,us,,,,,
Jonathan Pillow,"Professor of Neuroscience, Princeton University",https://scholar.google.com/citations?hl=en&user=-ElvJ9wAAAAJ,"computational neuroscience, neural coding, machine learning, decision-making, vision",princeton.edu,11487,us,,,,,
Fang-Cheng (Frank) Yeh,"Department of Neurological Surgery, University of Pittsburgh",https://scholar.google.com/citations?hl=en&user=QdfsoJ4AAAAJ,"Medical Image Analysis, Computational Neuroscience, Connectomics, Diffusion MRI, Tractography",pitt.edu,11479,us,,,,,
Dominique Martinez,,https://scholar.google.com/citations?hl=en&user=BlHUpkwAAAAJ,"computational neuroscience, biorobotics, olfaction, search strategies",loria.fr,11441,fr,,,,,
Guillermo Cecchi,IBM Research,https://scholar.google.com/citations?hl=en&user=pQZaTGEAAAAJ,"computational neuroscience, psychiatry",us.ibm.com,11360,us,,,,,
Francesco P. Battaglia,"Full professor, Donders Centre for Neuroscience, Radboud Universiteit Nijmegen",https://scholar.google.com/citations?hl=en&user=rTQIGBEAAAAJ,"Systems Neuroscience, Computational Neuroscience, Learning and Memory, Neuroengineering",science.ru.nl,11119,nl,,,,,
Marcel van Gerven,"Professor of Artificial Cognitive Systems, Donders Institute for Brain, Cognition ",https://scholar.google.com/citations?hl=en&user=sX0ZypwAAAAJ,"Artificial Intelligence, Machine Learning,  Computational Neuroscience",donders.ru.nl,11114,nl,,,,,
Aurel A. Lazar,"Professor of Electrical Engineering, Columbia University",https://scholar.google.com/citations?hl=en&user=kM1CydQAAAAJ,"Neural Coding, Theoretical Neuroscience, Computational Neuroscience, Neural Computation, Sensory Processing",ee.columbia.edu,11054,us,,,,,
Marcelo Magnasco,"Professor, Rockefeller University",https://scholar.google.com/citations?hl=en&user=MjMrFDcAAAAJ,"Biological physics, computational neuroscience, auditory neuroscience, marine mammals",rockefeller.edu,10997,us,,,,,
Joshua W. Brown,Indiana University,https://scholar.google.com/citations?hl=en&user=rjYUjroAAAAJ,"Cognitive control, fMRI, computational neuroscience",indiana.edu,10986,us,,,,,
A. Aldo Faisal,"Professor in AI & Neuroscience, Imperial College; Chair in Digital Health, University of ",https://scholar.google.com/citations?hl=en&user=WjHjbrwAAAAJ,"AI for Healthcare, Reinforcement Learning,  Neurotechnology,  Computational Neuroscience,  Behavior Analytics",imperial.ac.uk,10900,uk,,,,,
Gabriel A. Silva,"Professor of Bioengineering and Neurosciences, University of California, San Diego",https://scholar.google.com/citations?hl=en&user=YkJ6RmUAAAAJ,"Machine learning, computational neuroscience, computational neuroscience, neuroscience, information theory",ucsd.edu,10870,us,,,,,
Eric L. Schwartz,Boston University,https://scholar.google.com/citations?hl=en&user=vqWsd78AAAAJ,"computational neuroscience, brain imaging, computer vision, visual cortex",bu.edu,10839,us,,,,,
Dagmar Sternad,"University Distinguished Professor of Biology, Electrical and Computer Engineering",https://scholar.google.com/citations?hl=en&user=qg9Gd84AAAAJ,"Motor control and learning, computational neuroscience,  variability,  dynamic systems",northeastern.edu,10816,us,,,,,
James B Aimone,Sandia National Laboratories,https://scholar.google.com/citations?hl=en&user=fIhoSlAAAAAJ,"Computational Neuroscience, Adult Neurogenesis, Theoretical Neuroscience, Neuromorphic Computing",sandia.gov,10797,us,,,,,
Jonathan B. Dingwell,Pennsylvania State University,https://scholar.google.com/citations?hl=en&user=EQtcohcAAAAJ,"Biomechanics, Motor Control, Computational Neuroscience, Applied Mechanics, Locomotion",psu.edu,10716,us,,,,,
Subutai Ahmad,Numenta,https://scholar.google.com/citations?hl=en&user=15vzrCoAAAAJ,"Computational Neuroscience, Machine Learning",subutai.com,10688,us,,,,,
Gaute Einevoll,Norwegian University of Life Sciences & University of Oslo,https://scholar.google.com/citations?hl=en&user=np0Lz5kAAAAJ,"Computational neuroscience, Neuroinformatics",nmbu.no,10610,no,,,,,
Jenelle Feather,Flatiron Institute,https://scholar.google.com/citations?hl=en&user=TtTfnKIAAAAJ,"computational neuroscience, cognitive neuroscience, artificial intelligence",flatironinstitute.org,10558,us,,,,,
Thomas Natschl?ger,"Dynatrace, Lead Data Scientist",https://scholar.google.com/citations?hl=en&user=O1ix5uYAAAAJ,"Machine Learning, Knowledge Discovery, Computational Neuroscience",dynatrace.com,10479,us,,,,,
Adriano Tort,"Brain Institute, Federal University of Rio Grande do Norte",https://scholar.google.com/citations?hl=en&user=Z7lq_2gAAAAJ,"Neuroscience, Computational Neuroscience",neuro.ufrn.br,10458,br,,,,,
Tobias H. Donner,"Professor of Integrative Neuroscience, Dept. of Neurophysiology, UKE Hamburg",https://scholar.google.com/citations?hl=en&user=ssqr44UAAAAJ,"Systems Neuroscience, Computational Neuroscience, Neuroimaging, Neurophysiology, Psychophysics",uke.de,10316,de,,,,,
Maxim Bazhenov,Professor of Medicine,https://scholar.google.com/citations?hl=en&user=K-s7w8MAAAAJ,"computational neuroscience, artificial intelligence, olfactory coding, epileptogenesis, sleep and memory consolidation",ucsd.edu,10270,us,,,,,
Ted Carnevale,"Senior Research Scientist, Yale School of Medicine",https://scholar.google.com/citations?hl=en&user=lgVfVg0AAAAJ,"Neurobiology, Computational Neuroscience",yale.edu,10256,us,,,,,
Ronald L Calabrese,"Samuel Candler Dobbs Professor of Biology, Emory University",https://scholar.google.com/citations?hl=en&user=XuzjHb4AAAAJ,Computational Neuroscience,emory.edu,10236,us,,,,,
James M McFarland,Broad Institute,https://scholar.google.com/citations?hl=en&user=Jrm2Cr8AAAAJ,"computational biology, machine learning, cancer biology, computational neuroscience, systems neuroscience",broadinstitute.org,10235,us,,,,,
Alexander Neiman,"Dept. of Physics and Astronomy, Ohio University",https://scholar.google.com/citations?hl=en&user=jgDjF5oAAAAJ,"nonlinear dynamics, stochastic processes, stochastic dynamics, computational neuroscience",ohio.edu,10229,us,,,,,
Concha Bielza,"Professor of Statistics and Operations Research, Technical University of Madrid",https://scholar.google.com/citations?hl=en&user=zwSj1n8AAAAJ,"Machine Learning, Bayesian networks, Computational Neuroscience, Industry 4.0, Influence Diagrams",fi.upm.es,10181,es,,,,,
Mark E Nelson,"Professor, Molecular & Integrative Physiology, Univ. of Illinois, Urbana-Champaign",https://scholar.google.com/citations?hl=en&user=wr4PHUUAAAAJ,"Computational Neuroscience, Sensory Processing, Neuroethology, Biorobotics, High-Energy Particle Physics",illinois.edu,10095,us,,,,,
Michael Lewicki,"Assoc Prof, Elec Engr & Comp Sci, Case Western Reserve University",https://scholar.google.com/citations?hl=en&user=wRRKmnMAAAAJ,"Computational Neuroscience, Machine Learning, Computer Vision",case.edu,10076,us,,,,,
Mauro Ursino,"Department of Electrical, Electronic, and Information Engineering Area di Campus Cesena ",https://scholar.google.com/citations?hl=en&user=7T_ZsBEAAAAJ,"Physiological modeling, Computational neuroscience,  Neural computation,  Theoretical neuroscience",unibo.it,10071,it,,,,,
Jan Gl?scher,"Institute for Systems Neuroscience, University of Hamburg",https://scholar.google.com/citations?hl=en&user=1jj1F44AAAAJ,"Decision Neuroscience, Computational Neuroscience, Reinforcement Learning, Social Decision-Making",uke.de,10059,de,,,,,
Mark A Kramer,Boston University,https://scholar.google.com/citations?hl=en&user=gn4NeQkAAAAJ,Computational Neuroscience,bu.edu,9990,us,,,,,
Theoden Netoff,University of Minnesota,https://scholar.google.com/citations?hl=en&user=25MCotUAAAAJ,"Neuroscience, Epilepsy, Computational Neuroscience, time series analysis",umn.edu,9978,us,,,,,
Thierry Pozzo,Senior Researcher IIT/CTNSC and INSERM,https://scholar.google.com/citations?hl=en&user=b7zInmUAAAAJ,"Action, Perception, Motor Control, computational Neuroscience, Motor Cognition",iit.it,9930,it,,,,,
John D. Murray,"Gregg L. Engles Associate Professor of Psychological and Brain Sciences, Dartmouth ",https://scholar.google.com/citations?hl=en&user=LCAIVIUAAAAJ,"Theoretical Neuroscience, Computational Neuroscience,  Computational Psychiatry",dartmouth.edu,9918,us,,,,,
Friedemann Zenke,"Friedrich Miescher Institute (FMI), University of Basel",https://scholar.google.com/citations?hl=en&user=_IxvO8QAAAAJ,"computational neuroscience, learning, NeuroAI, spiking neural networks, neuromorphic computing",fmi.ch,9824,ch,,,,,
John A. White,"Professor & Chair of Biomedical Engineering, Boston U.",https://scholar.google.com/citations?hl=en&user=RBSFc8wAAAAJ,"Neural engineering, neuroengineering, computational neuroscience, neurophysiology, biomedical engineering",bu.edu,9818,us,,,,,
"Krzysztof J Cios, Fellow: IEEE, AIMBE","Professor of Computer Science, VCU",https://scholar.google.com/citations?hl=en&user=hrWVmoAAAAAJ,"Machine Learning, Data Mining, Computational Neuroscience, Biomedical Informatics",vcu.edu,9720,us,,,,,
Stefan Mihalas,"Investigator, Allen Institute",https://scholar.google.com/citations?hl=en&user=hwK-jm4AAAAJ,Computational neuroscience,alleninstitute.org,9719,us,,,,,
Upinder Singh Bhalla,"National Centre for Biological Sciences, TIFR, Bangalore",https://scholar.google.com/citations?hl=en&user=rxYd-B4AAAAJ,"Computational neuroscience, systems biology, neural activity sequences",ncbs.res.in,9707,in,,,,,
David J. Freedman,"Professor and Chair, Department of Neurobiology, The University of Chicago",https://scholar.google.com/citations?hl=en&user=eegYQdMAAAAJ,"Cognitive Neuroscience, Systems Neuroscience, Visual Perception, Computational Neuroscience",uchicago.edu,9691,us,,,,,
S Gliske,"Associate Professor, Department of Neurosurgery, University of Nebraska Medical Center",https://scholar.google.com/citations?hl=en&user=XWsTFu4AAAAJ,"Computational Neuroscience, Translational Research, Epilepsy, Sleep Physiology",unmc.edu,9665,us,,,,,
frank rattay,"TU Vienna, Institute for Analysis and Scientific Computing",https://scholar.google.com/citations?hl=en&user=cdz_RYEAAAAJ,"computational neuroscience, biomedical engineering",tuwien.ac.at,9621,at,,,,,
Bradley Voytek,UC San Diego,https://scholar.google.com/citations?hl=en&user=ydFvGx0AAAAJ,"Cognitive Neuroscience, Computational Neuroscience, Data Science, Signal Processing",ucsd.edu,9563,us,,,,,
Jun Morimoto,Kyoto University & ATR Computational Neuroscience Labs,https://scholar.google.com/citations?hl=en&user=oTa7hoEAAAAJ,"Robotics, Machine Learning, Computational Neuroscience",atr.jp,9559,jp,,,,,
David Sussillo,Meta Reality Labs and Adjunct Professor @ Stanford,https://scholar.google.com/citations?hl=en&user=ebBgMSkAAAAJ,"Computational Neuroscience, NeuroAI, Dynamical Systems",stanford.edu,9558,us,,,,,
Giulio Ruffini,Neuroelectrics & Starlab,https://scholar.google.com/citations?hl=en&user=IxDxqksAAAAJ,"Biophysics, computational neuroscience, physics, math",neuroelectrics.com,9461,es,,,,,
Manfred G Kitzbichler,University of Cambridge,https://scholar.google.com/citations?hl=en&user=z9lGEqcAAAAJ,"Neuroimaging, MEG, Computational Neuroscience, Networks, Complex Systems",cam.ac.uk,9414,uk,,,,,
Daniele Marinazzo,"Professor of Neuroimaging Data Analysis, Ghent University, email daniele.marinazzo ",https://scholar.google.com/citations?hl=en&user=OJbWSLoAAAAJ,"Network Theory, Computational Neuroscience,  Brain Connectivity,  Network Physiology,  Complex Systems",ugent.be,9321,be,,,,,
